transaction_id,transaction_date,direction,amount,currency,counterparty_name,counterparty_account,reference,payment_method,bank_account,description
BNK-00000505,2026-01-21,DEBIT,1580147.78,LKR,Seacrest Consulting Inc,313671722771,INV-2026-000533,WIRE,OPERATING-001,Vendor payment INV-2026-000533
BNK-00000841,2026-01-21,DEBIT,7051.14,EUR,Fusion Consulting Incorporated,159574598144,INV-2026-000887,WIRE,PAYABLES-001,Vendor payment INV-2026-000887
BNK-00000010,2026-01-22,DEBIT,9504.9,GBP,Royal Holdings Limited,763541807547,INV-2026-000009,WIRE,OPERATING-002,Vendor payment INV-2026-000009
BNK-00000240,2026-01-22,DEBIT,5349.39,USD,Delta Foods Corporation,430464641651,INV-2026-000254,ACH,PAYABLES-001,Vendor payment INV-2026-000254
BNK-00000263,2026-01-22,DEBIT,370719.19,LKR,Seacrest Solutions Limited,245495438119,INV-2026-000282,BANK_TRANSFER,PAYABLES-001,Vendor payment INV-2026-000282
BNK-00000638,2026-01-22,DEBIT,9664.97,USD,Orbit Trading Limited,670621564585,INV-2026-000667,CHEQUE,OPERATING-001,Vendor payment INV-2026-000667
BNK-00001393,2026-01-22,DEBIT,15612.66,GBP,ORBIT CONSULTING LIMITED,884069898811,INV-2026-001456,BANK_TRANSFER,OPERATING-001,Vendor payment INV-2026-001456
BNK-00001560,2026-01-22,DEBIT,1881566.16,LKR,NOVA ENGINEERING CORPORATION,781595872312,INV-2026-001625,WIRE,PAYABLES-001,Vendor payment INV-2026-001625
BNK-00002091,2026-01-22,DEBIT,498874.26,LKR,National Telecom,135321904520,MISC-002091,DIRECT_DEBIT,OPERATING-002,Rent payment
BNK-00000304,2026-01-23,DEBIT,19867.78,USD,Silverline Systems Incorporated,812865433579,INV-2026-000321,CHEQUE,OPERATING-001,Vendor payment INV-2026-000321
BNK-00000467,2026-01-23,DEBIT,13034.16,USD,Unity Foods Corporation,521330443041,INV-2026-000491,ACH,OPERATING-002,Vendor payment INV-2026-000491
BNK-00000727,2026-01-23,DEBIT,17616.9,USD,Royal Supplies Incorporated,844119833085,INV-2026-000772,CHEQUE,OPERATING-002,Vendor payment INV-2026-000772
BNK-00001956,2026-01-23,CREDIT,534899.06,LKR,City Power Utility,528999512409,MISC-001956,DIRECT_DEBIT,OPERATING-001,Customer receipt
BNK-00002005,2026-01-23,DEBIT,665211.99,LKR,Office Rent Holdings,323856627969,MISC-002005,BANK_TRANSFER,OPERATING-001,Utility payment
BNK-00000023,2026-01-24,DEBIT,5339.9,USD,Harbor Logistics Limited,339669665349,INV-2026-000023,WIRE,OPERATING-001,Vendor payment INV-2026-000023
BNK-00000468,2026-01-24,DEBIT,13034.16,USD,Unity Foods Corporation,521330443041,INV-2026-000491,WIRE,OPERATING-001,Possible duplicate vendor payment INV-2026-000491
BNK-00000800,2026-01-24,DEBIT,2439.56,USD,Keystone Technologies Incorporated,537795287592,INV-2026-000845,CHEQUE,PAYABLES-001,Vendor payment INV-2026-000845
BNK-00002080,2026-01-24,DEBIT,78827.8,LKR,Interest Income,357529701266,MISC-002080,DIRECT_DEBIT,OPERATING-001,Bank charge
BNK-00000176,2026-01-25,DEBIT,11411.08,USD,Insight Services Limited,112978452832,INV-2026-000187,BANK_TRANSFER,OPERATING-002,Vendor payment INV-2026-000187
BNK-00001747,2026-01-25,DEBIT,7874.56,GBP,Jade Industries Limited,540585735564,INV-2026-001822,CHEQUE,OPERATING-002,Vendor payment INV-2026-001822
BNK-00002028,2026-01-26,DEBIT,131948.05,LKR,National Telecom,415440399772,MISC-002028,DIRECT_DEBIT,OPERATING-001,Customer receipt
BNK-00001217,2026-01-27,DEBIT,17589.75,USD,TITAN CONSULTING LIMITED,210036267868,INV-2026-001270,ACH,PAYABLES-001,Vendor payment INV-2026-001270
BNK-00001748,2026-01-27,DEBIT,7874.56,GBP,Jade Industries Limited,540585735564,INV-2026-001822,WIRE,PAYABLES-001,Possible duplicate vendor payment INV-2026-001822
BNK-00001828,2026-01-27,DEBIT,7706.85,USD,Delta Solutions Incorporated,482855037930,INV-2026-001899,WIRE,OPERATING-001,Vendor payment INV-2026-001899
BNK-00001918,2026-01-27,DEBIT,6530.15,USD,NOVA LOGISTICS LIMITED,988348638973,INV-2026-001997,BANK_TRANSFER,PAYABLES-001,Vendor payment INV-2026-001997
BNK-00002075,2026-01-27,DEBIT,398519.27,LKR,Interest Income,932205262064,MISC-002075,ACH,OPERATING-002,Operating expense
BNK-00002092,2026-01-27,DEBIT,316790.25,LKR,Office Rent Holdings,680001936337,MISC-002092,WIRE,PAYABLES-001,Customer receipt
BNK-00000579,2026-01-28,DEBIT,665395.13,LKR,Insight Technologies Incorporated,340733806442,INV-2026-000607,CHEQUE,PAYABLES-001,Vendor payment INV-2026-000607
BNK-00001755,2026-01-28,DEBIT,1853208.36,LKR,Silverline Technologies Incorporated,636439249785,INV-2026-001829,BANK_TRANSFER,OPERATING-002,Vendor payment INV-2026-001829
BNK-00002038,2026-01-28,CREDIT,5942.64,USD,Card Settlement,830013974584,MISC-002038,WIRE,OPERATING-002,Customer receipt
BNK-00001999,2026-01-29,DEBIT,1927.22,USD,City Power Utility,468791693733,MISC-001999,CARD,OPERATING-002,Utility payment
BNK-00002043,2026-01-29,CREDIT,7922.99,EUR,Employee Reimbursements,657886985291,MISC-002043,CARD,OPERATING-001,Bank charge
BNK-00000266,2026-01-31,DEBIT,1966.22,USD,Delta Solutions Corporation,641938372964,INV-2026-000285,BANK_TRANSFER,OPERATING-002,Vendor payment INV-2026-000285
BNK-00001237,2026-01-31,DEBIT,2639.11,USD,Keystone Logistics Limited,373263685325,INV-2026-001288,WIRE,OPERATING-001,Vendor payment INV-2026-001288
BNK-00001687,2026-01-31,DEBIT,7856.35,USD,Crescent Logistics Corporation,835428871006,INV-2026-001757,CHEQUE,OPERATING-001,Vendor payment INV-2026-001757
BNK-00001943,2026-01-31,DEBIT,884.52,EUR,Office Rent Holdings,569583547533,MISC-001943,CARD,OPERATING-002,Insurance payment
BNK-00001840,2026-02-01,DEBIT,918345.39,LKR,Global Engineering Limited,159172251058,INV-2026-001910,ACH,OPERATING-001,Vendor payment INV-2026-001910
BNK-00001975,2026-02-01,CREDIT,892.7,EUR,Insurance Provider,748064854087,MISC-001975,DIRECT_DEBIT,OPERATING-001,Utility payment
BNK-00002049,2026-02-01,DEBIT,182.97,USD,Card Settlement,883011377561,MISC-002049,WIRE,OPERATING-002,Customer receipt
BNK-00000090,2026-02-02,DEBIT,6112.22,USD,Pioneer Packaging Limited,786086128752,INV-2026-000097,BANK_TRANSFER,OPERATING-001,Vendor payment INV-2026-000097
BNK-00000655,2026-02-02,DEBIT,11628.69,USD,Royal Services Incorporated,692955158244,INV-2026-000687,CHEQUE,OPERATING-002,Vendor payment INV-2026-000687
BNK-00000994,2026-02-02,DEBIT,19486.28,USD,CRESCENT SUPPLIES LIMITED,821600684492,INV-2026-001043,BANK_TRANSFER,OPERATING-002,Vendor payment INV-2026-001043
BNK-00001618,2026-02-02,DEBIT,1865.7,GBP,Fusion Consulting Incorporated,159574598144,INV-2026-001686,WIRE,OPERATING-002,Vendor payment INV-2026-001686 incl bank fee
BNK-00001887,2026-02-02,DEBIT,2155790.82,LKR,Orbit Consulting Limited,884069898811,INV-2026-001960,ACH,PAYABLES-001,Vendor payment INV-2026-001960
BNK-00001938,2026-02-02,DEBIT,5118.49,USD,Interest Income,324032508926,MISC-001938,CARD,OPERATING-002,Rent payment
BNK-00002081,2026-02-02,DEBIT,524695.48,LKR,Bank Service Charges,102953607202,MISC-002081,CARD,PAYABLES-001,Utility payment
BNK-00000074,2026-02-03,DEBIT,1819475.12,LKR,Delta Pharma Limited,449993794346,INV-2026-000078,BANK_TRANSFER,PAYABLES-001,Vendor payment INV-2026-000078
BNK-00000786,2026-02-03,DEBIT,14481.19,USD,Pioneer Packaging Limited,786086128752,INV-2026-000831,ACH,OPERATING-001,Vendor payment INV-2026-000831
BNK-00000880,2026-02-03,DEBIT,1229.1,GBP,Silverline Technologies Incorporated,636439249785,INV-2026-000926,ACH,OPERATING-001,Vendor payment INV-2026-000926
BNK-00001464,2026-02-03,DEBIT,404.36,GBP,Unity Foods Limited,192330135002,INV-2026-001527-P1,ACH,PAYABLES-001,Part payment 1 for INV-2026-001527
BNK-00000267,2026-02-04,DEBIT,289490.0,LKR,Zenith Consulting Ltd,320972207209,INV-2026-000286,CHEQUE,PAYABLES-001,Vendor payment INV-2026-000286
BNK-00001451,2026-02-04,DEBIT,14033.67,GBP,Silverline Services Limited,786420412894,INV-2026-001514,ACH,PAYABLES-001,Vendor payment INV-2026-001514 incl bank fee
BNK-00001580,2026-02-04,DEBIT,8216.53,USD,Orbit Consulting Limited,884069898811,INV-2026-001650,CHEQUE,PAYABLES-001,Vendor payment INV-2026-001650
BNK-00001623,2026-02-04,DEBIT,8858.04,USD,Unity Packaging Corporation,275583175291,INV-2026-001695,ACH,OPERATING-001,Vendor payment INV-2026-001695
BNK-00000199,2026-02-05,DEBIT,19246.1,USD,Zenith Consulting Incorporated,300057279938,INV-2026-000215,CHEQUE,OPERATING-001,Vendor payment INV-2026-000215
BNK-00000520,2026-02-05,DEBIT,9889.14,GBP,Silverline Systems Incorporated,812865433579,INV-2026-000549,ACH,OPERATING-002,Vendor payment INV-2026-000549
BNK-00000897,2026-02-05,DEBIT,13148.8,USD,Delta Solutions Corporation,641938372964,INV-2026-000941,WIRE,PAYABLES-001,Vendor payment INV-2026-000941 incl bank fee
BNK-00000993,2026-02-05,DEBIT,17140.09,GBP,Vertex Consulting Incorporated,829094805956,INV-2026-001042,ACH,PAYABLES-001,Vendor payment INV-2026-001042
BNK-00001431,2026-02-05,DEBIT,1823765.65,LKR,Pioneer Supplies Limited,848137395082,INV-2026-001495,ACH,OPERATING-001,Vendor payment INV-2026-001495
BNK-00001703,2026-02-05,DEBIT,225482.85,LKR,Northstar Packaging Corporation,984294502389,INV-2026-001775,ACH,OPERATING-002,Vendor payment INV-2026-001775
BNK-00000244,2026-02-06,DEBIT,2294.13,GBP,Titan Consulting Limited,210036267868,INV-2026-000258,ACH,PAYABLES-001,Vendor payment INV-2026-000258
BNK-00000367,2026-02-06,DEBIT,15019.85,USD,Orbit Trading Limited,670621564585,INV-2026-000386,ACH,OPERATING-001,Vendor payment INV-2026-000386
BNK-00000437,2026-02-06,DEBIT,1026677.16,LKR,SILVERLINE SYSTEMS INCORPORATED,812865433579,INV-2026-000458,CHEQUE,PAYABLES-001,Vendor payment INV-2026-000458
BNK-00000654,2026-02-06,DEBIT,1202.22,GBP,Delta Pharma Limited,449993794346,INV-2026-000686,WIRE,PAYABLES-001,Vendor payment INV-2026-000686
BNK-00001032,2026-02-06,DEBIT,1425708.38,LKR,Silverline Technologies Incorporated,636439249785,INV-2026-001082,WIRE,OPERATING-001,Vendor payment INV-2026-001082
BNK-00001127,2026-02-06,DEBIT,504656.77,LKR,Nova Systems Corp,367862118541,INV-2026-001178,WIRE,PAYABLES-001,Vendor payment INV-2026-001178
BNK-00001152,2026-02-06,DEBIT,10121.42,USD,Metro Foods Limited,271054481685,INV-2026-001202,BANK_TRANSFER,PAYABLES-001,Vendor payment INV-2026-001202
BNK-00001297,2026-02-06,DEBIT,11976.59,USD,Global Engineering Limited,159172251058,INV-2026-001355,BANK_TRANSFER,OPERATING-001,Vendor payment INV-2026-001355
BNK-00001314,2026-02-06,DEBIT,4051.31,USD,Silverline Services Limited,786420412894,INV-2026-001372,WIRE,PAYABLES-001,Vendor payment INV-2026-001372
BNK-00001465,2026-02-06,DEBIT,393.83,GBP,Unity Foods Limited,192330135002,INV-2026-001527-P2,CHEQUE,PAYABLES-001,Part payment 2 for INV-2026-001527
BNK-00000078,2026-02-07,DEBIT,12222.95,USD,Keystone Packaging Limited,137044812889,INV-2026-000082,WIRE,OPERATING-002,Vendor payment INV-2026-000082 incl bank fee
BNK-00000277,2026-02-07,DEBIT,1579.55,EUR,Silverline Services Limited,786420412894,INV-2026-000295,CHEQUE,OPERATING-001,Vendor payment INV-2026-000295
BNK-00000278,2026-02-07,DEBIT,1579.55,EUR,Silverline Services Limited,786420412894,INV-2026-000295,ACH,OPERATING-002,Possible duplicate vendor payment INV-2026-000295
BNK-00000284,2026-02-07,DEBIT,21925.86,USD,Royal Networks Incorporated,420358865351,INV-2026-000300,BANK_TRANSFER,OPERATING-001,Vendor payment INV-2026-000300
BNK-00000508,2026-02-07,DEBIT,570297.59,LKR,Evergreen Packaging Limited,589426971653,INV-2026-000537,BANK_TRANSFER,PAYABLES-001,Vendor payment INV-2026-000537
BNK-00000521,2026-02-07,DEBIT,9889.14,GBP,Silverline Systems Incorporated,812865433579,INV-2026-000549,BANK_TRANSFER,OPERATING-002,Possible duplicate vendor payment INV-2026-000549
BNK-00000682,2026-02-07,DEBIT,1850267.75,LKR,Lanka Foods Limited,482503603584,INV-2026-000722,BANK_TRANSFER,OPERATING-001,Vendor payment INV-2026-000722
BNK-00000771,2026-02-07,DEBIT,5281.6,USD,Titan Foods Incorporated,275661855915,INV-2026-000816,BANK_TRANSFER,PAYABLES-001,Vendor payment INV-2026-000816
BNK-00000918,2026-02-07,DEBIT,18932.08,USD,Unity Foods Corp,521330443041,INV-2026-000966,CHEQUE,OPERATING-001,Vendor payment INV-2026-000966
BNK-00001704,2026-02-07,DEBIT,225482.85,LKR,Northstar Packaging Corporation,984294502389,INV-2026-001775,BANK_TRANSFER,OPERATING-002,Possible duplicate vendor payment INV-2026-001775
BNK-00001954,2026-02-07,DEBIT,2496.82,USD,Bank Service Charges,894897293727,MISC-001954,CARD,PAYABLES-001,Utility payment
BNK-00000063,2026-02-08,DEBIT,2783.1,EUR,NOVA SYSTEMS CORPORATION,367862118541,INV-2026-000068,BANK_TRANSFER,OPERATING-002,Vendor payment INV-2026-000068
BNK-00000225,2026-02-08,DEBIT,7829.46,USD,Keystone Trading Corporation,151975288711,INV-2026-000241,ACH,OPERATING-002,Vendor payment INV-2026-000241
BNK-00000268,2026-02-08,DEBIT,3060.53,USD,Keystone Trading Corporation,151975288711,INV-2026-000287-P1,CHEQUE,OPERATING-002,Part payment 1 for INV-2026-000287
BNK-00000850,2026-02-08,DEBIT,3713.5,USD,Fusion Consulting Incorporated,159574598144,INV-2026-000895,ACH,OPERATING-002,Vendor payment INV-2026-000895 incl bank fee
BNK-00001003,2026-02-08,DEBIT,6964.09,EUR,NOVA LOGISTICS LIMITED,988348638973,INV-2026-001053,WIRE,OPERATING-002,Vendor payment INV-2026-001053
BNK-00001260,2026-02-08,DEBIT,13064.23,USD,Seacrest Consulting Incorporated,313671722771,INV-2026-001314,ACH,PAYABLES-001,Vendor payment INV-2026-001314
BNK-00001388,2026-02-08,DEBIT,5891.79,EUR,Pioneer Trading Incorporated,131761864164,INV-2026-001451,BANK_TRANSFER,OPERATING-002,Vendor payment INV-2026-001451
BNK-00001830,2026-02-08,DEBIT,7480.42,USD,Northstar Packaging Corporation,984294502389,INV-2026-001901,ACH,OPERATING-002,Vendor payment INV-2026-001901
BNK-00000012,2026-02-09,DEBIT,19324.45,USD,Crescent Industries Limited,354876605861,INV-2026-000012,CHEQUE,OPERATING-001,Vendor payment INV-2026-000012
BNK-00000013,2026-02-09,DEBIT,19324.45,USD,Crescent Industries Limited,354876605861,INV-2026-000012,ACH,OPERATING-002,Possible duplicate vendor payment INV-2026-000012
BNK-00000188,2026-02-09,DEBIT,3698.03,USD,Silverline Services Ltd,786420412894,INV-2026-000201,WIRE,OPERATING-002,Vendor payment INV-2026-000201
BNK-00000591,2026-02-09,DEBIT,12575.04,USD,Unity Packaging Corporation,275583175291,INV-2026-000619,BANK_TRANSFER,PAYABLES-001,Vendor payment INV-2026-000619
BNK-00000651,2026-02-09,DEBIT,8063.94,USD,Harbor Services Incorporated,624015215345,INV-2026-000683,ACH,PAYABLES-001,Vendor payment INV-2026-000683
BNK-00001573,2026-02-09,DEBIT,418.32,GBP,Evergreen Industries Corporation,191967772113,INV-2026-001641,BANK_TRANSFER,OPERATING-002,Vendor payment INV-2026-001641
BNK-00001917,2026-02-09,DEBIT,2190492.65,LKR,Global Engineering Limited,159172251058,INV-2026-001996,ACH,OPERATING-001,Vendor payment INV-2026-001996 incl bank fee
BNK-00000269,2026-02-10,DEBIT,3796.85,USD,Keystone Trading Corporation,151975288711,INV-2026-000287-P2,WIRE,OPERATING-002,Part payment 2 for INV-2026-000287
BNK-00000489,2026-02-10,DEBIT,11147.86,USD,Delta Foods Corporation,430464641651,INV-2026-000517,WIRE,OPERATING-002,Vendor payment INV-2026-000517
BNK-00000569,2026-02-10,DEBIT,13989.46,USD,Harbor Logistics Limited,339669665349,INV-2026-000597,WIRE,OPERATING-002,Vendor payment INV-2026-000597
BNK-00000974,2026-02-10,DEBIT,10197.94,USD,Pioneer Industries Incorporated,588849788066,INV-2026-001025-P1,BANK_TRANSFER,OPERATING-001,Part payment 1 for INV-2026-001025
BNK-00001041,2026-02-10,DEBIT,20449.52,USD,Apex Consulting Incorporated,509620244728,INV-2026-001090,WIRE,OPERATING-001,Vendor payment INV-2026-001090
BNK-00001746,2026-02-10,DEBIT,11345.57,USD,Titan Foods Incorporated,275661855915,INV-2026-001821,CHEQUE,OPERATING-001,Vendor payment INV-2026-001821
BNK-00002019,2026-02-10,DEBIT,4757.76,USD,Office Rent Holdings,861283092237,MISC-002019,BANK_TRANSFER,OPERATING-002,Payroll related
BNK-00002073,2026-02-10,DEBIT,199497.33,LKR,City Power Utility,906545166040,MISC-002073,CARD,OPERATING-002,Customer receipt
BNK-00000333,2026-02-11,DEBIT,8122.76,GBP,Nova Packaging Corporation,712652693184,INV-2026-000351,ACH,OPERATING-002,Vendor payment INV-2026-000351
BNK-00000565,2026-02-11,DEBIT,12759.15,EUR,Seacrest Solutions Limited,245495438119,INV-2026-000593,ACH,OPERATING-002,Vendor payment INV-2026-000593
BNK-00000975,2026-02-11,DEBIT,7039.72,USD,Pioneer Industries Incorporated,588849788066,INV-2026-001025-P2,ACH,OPERATING-002,Part payment 2 for INV-2026-001025
BNK-00001125,2026-02-11,DEBIT,843265.69,LKR,Vertex Packaging Limited,878442396279,INV-2026-001176,CHEQUE,PAYABLES-001,Vendor payment INV-2026-001176
BNK-00001336,2026-02-11,DEBIT,4680.3,EUR,KEYSTONE PACKAGING LIMITED,137044812889,INV-2026-001394,CHEQUE,PAYABLES-001,Vendor payment INV-2026-001394
BNK-00001588,2026-02-11,DEBIT,10269.82,USD,Unity Systems Incorporated,996390815905,INV-2026-001657,BANK_TRANSFER,PAYABLES-001,Vendor payment INV-2026-001657
BNK-00001769,2026-02-11,DEBIT,8087.56,GBP,Metro Holdings Incorporated,337635667755,INV-2026-001843,WIRE,PAYABLES-001,Vendor payment INV-2026-001843
BNK-00000440,2026-02-12,DEBIT,19618.84,EUR,Orbit Pharma Corporation,243661253546,INV-2026-000463,ACH,OPERATING-001,Vendor payment INV-2026-000463
BNK-00000518,2026-02-12,DEBIT,9779.16,USD,Metro Consulting Corporation,455945973170,INV-2026-000547,WIRE,OPERATING-002,Vendor payment INV-2026-000547 incl bank fee
BNK-00000566,2026-02-12,DEBIT,9567.0,USD,Nova Textiles Corporation,367267673414,INV-2026-000594,ACH,OPERATING-001,Vendor payment INV-2026-000594
BNK-00000577,2026-02-12,DEBIT,103672.43,LKR,Nova Solutions Corporation,307437974878,INV-2026-000605,CHEQUE,OPERATING-001,Vendor payment INV-2026-000605
BNK-00000748,2026-02-12,DEBIT,1824654.62,LKR,Lanka Foods Limited,482503603584,INV-2026-000792,CHEQUE,PAYABLES-001,Vendor payment INV-2026-000792
BNK-00001158,2026-02-12,DEBIT,1070.94,USD,Vertex Textiles Corp,415235296085,INV-2026-001210,WIRE,OPERATING-002,Vendor payment INV-2026-001210
BNK-00001371,2026-02-12,DEBIT,23066.78,EUR,Zenith Trading Incorporated,999134125065,INV-2026-001432,ACH,OPERATING-002,Vendor payment INV-2026-001432 incl bank fee
BNK-00000079,2026-02-13,DEBIT,1515766.8,LKR,Silverline Technologies Incorporated,636439249785,INV-2026-000084,CHEQUE,OPERATING-002,Vendor payment INV-2026-000084
BNK-00000381,2026-02-13,DEBIT,17340.19,USD,Metro Consulting Corporation,455945973170,INV-2026-000399,BANK_TRANSFER,PAYABLES-001,Vendor payment INV-2026-000399
BNK-00001018,2026-02-13,DEBIT,18381.17,GBP,Global Engineering Limited,159172251058,INV-2026-001067,BANK_TRANSFER,OPERATING-002,Vendor payment INV-2026-001067
BNK-00001160,2026-02-13,DEBIT,6343.22,USD,Titan Consulting Limited,210036267868,INV-2026-001212,BANK_TRANSFER,OPERATING-002,Vendor payment INV-2026-001212 incl bank fee
BNK-00001861,2026-02-13,DEBIT,11496.37,USD,BrightPath Logistics Corporation,755696355114,INV-2026-001934,CHEQUE,OPERATING-001,Vendor payment INV-2026-001934
BNK-00002054,2026-02-13,DEBIT,7848.94,EUR,Insurance Provider,702142783916,MISC-002054,CARD,OPERATING-001,Insurance payment
BNK-00000250,2026-02-14,DEBIT,9879.03,USD,Vertex Textiles Corporation,415235296085,INV-2026-000267,ACH,OPERATING-002,Vendor payment INV-2026-000267
BNK-00000541,2026-02-14,DEBIT,18984.95,USD,Nova Engineering Corporation,781595872312,INV-2026-000572,BANK_TRANSFER,PAYABLES-001,Vendor payment INV-2026-000572
BNK-00000749,2026-02-14,DEBIT,5541.51,USD,Metro Engineering Ltd,920438032193,INV-2026-000793,CHEQUE,OPERATING-001,Vendor payment INV-2026-000793
BNK-00001006,2026-02-14,DEBIT,6078.22,USD,Pioneer Supplies Incorporated,478166864450,INV-2026-001056,CHEQUE,OPERATING-002,Vendor payment INV-2026-001056
BNK-00001531,2026-02-14,DEBIT,9209.81,USD,Nova Packaging Corporation,712652693184,INV-2026-001594,BANK_TRANSFER,OPERATING-001,Vendor payment INV-2026-001594
BNK-00001853,2026-02-14,DEBIT,1418471.47,LKR,Nova Logistics Limited,988348638973,INV-2026-001925,WIRE,PAYABLES-001,Vendor payment INV-2026-001925
BNK-00001893,2026-02-14,DEBIT,16124.95,EUR,Keystone Trading Corporation,151975288711,INV-2026-001967,ACH,OPERATING-001,Vendor payment INV-2026-001967
BNK-00001970,2026-02-14,CREDIT,1488.92,USD,Office Rent Holdings,695729719433,MISC-001970,DIRECT_DEBIT,OPERATING-001,Payroll related
BNK-00000285,2026-02-15,DEBIT,17458.53,USD,Global Engineering Limited,159172251058,INV-2026-000301,WIRE,PAYABLES-001,Vendor payment INV-2026-000301
BNK-00000379,2026-02-15,DEBIT,1274846.88,LKR,Zenith Consulting Limited,320972207209,INV-2026-000397,ACH,OPERATING-002,Vendor payment INV-2026-000397
BNK-00000416,2026-02-15,DEBIT,14267.54,USD,Global Solutions Limited,524365842188,INV-2026-000433,WIRE,OPERATING-001,Vendor payment INV-2026-000433
BNK-00000453,2026-02-15,DEBIT,8483.2,EUR,Royal Supplies Incorporated,844119833085,INV-2026-000477,WIRE,OPERATING-002,Vendor payment INV-2026-000477
BNK-00000504,2026-02-15,DEBIT,920037.96,LKR,Titan Foods Incorporated,275661855915,INV-2026-000532,CHEQUE,OPERATING-001,Vendor payment INV-2026-000532
BNK-00000688,2026-02-15,DEBIT,11958.93,GBP,Vertex Packaging Inc,873883374114,INV-2026-000731,ACH,OPERATING-001,Vendor payment INV-2026-000731
BNK-00000871,2026-02-15,DEBIT,18721.06,USD,Harbor Industries Limited,656253304185,INV-2026-000918,ACH,OPERATING-002,Vendor payment INV-2026-000918
BNK-00001092,2026-02-15,DEBIT,12949.81,USD,Royal Supplies Incorporated,844119833085,INV-2026-001142,CHEQUE,PAYABLES-001,Vendor payment INV-2026-001142
BNK-00001240,2026-02-15,DEBIT,21264.14,USD,Pioneer Industries Incorporated,588849788066,INV-2026-001292,BANK_TRANSFER,OPERATING-002,Vendor payment INV-2026-001292
BNK-00002041,2026-02-15,DEBIT,3405.62,EUR,City Power Utility,498434532809,MISC-002041,WIRE,OPERATING-002,Insurance payment
BNK-00000086,2026-02-16,DEBIT,15216.82,USD,Global Engineering Limited,159172251058,INV-2026-000091,ACH,OPERATING-001,Vendor payment INV-2026-000091
BNK-00000313,2026-02-16,DEBIT,18653.37,EUR,Keystone Technologies Incorporated,537795287592,INV-2026-000329,BANK_TRANSFER,PAYABLES-001,Vendor payment INV-2026-000329 incl bank fee
BNK-00000407,2026-02-16,DEBIT,1444.58,USD,Unity Foods Corporation,521330443041,INV-2026-000425-P1,CHEQUE,OPERATING-002,Part payment 1 for INV-2026-000425
BNK-00000544,2026-02-16,DEBIT,1314.99,USD,Harbor Supplies Limited,780648306067,INV-2026-000575,CHEQUE,OPERATING-001,Vendor payment INV-2026-000575
BNK-00000580,2026-02-16,DEBIT,3297.83,USD,Harbor Technologies Limited,664313517211,INV-2026-000608,ACH,OPERATING-001,Vendor payment INV-2026-000608
BNK-00000805,2026-02-16,DEBIT,2549.92,USD,Nova Systems Corporation,367862118541,INV-2026-000851,ACH,PAYABLES-001,Vendor payment INV-2026-000851
